mondo_id	label	definition	obsolete	obsoletion_candidate
MONDO:0100633	toxic polyneuropathy	Polyneuropathy that is caused by exposure to toxins.		
MONDO:0100634	traumatic neuropathy	A peripheral neuropathy resulting from a traumatic event.		
MONDO:0100635	radiation-induced neuropathy	A peripheral neuropathy caused by exposure to radiation, resulting in damage to one or more peripheral nerves.		
MONDO:0100636	corticosteroid myopathy	A drug-induced myopathy caused by exposure to corticosteroids.		
MONDO:0100637	drug-induced myopathy	A myopathy caused by exposure to a drug.		
MONDO:0100638	endocrine myopathy	A metabolic myopathy associated with an endocrine disorder.		
MONDO:0100639	vasculitic neuropathy	A peripheral neuropathy that arises as a consequence of vasculitis, characterized by nerve damage resulting from inflammation of blood vessels.		
MONDO:0100640	chronic idiopathic neuropathy	Chronic and idiopathic form of peripheral neuropathy.		
MONDO:0100641	chemotherapy-induced neuropathy	A peripheral neuropathy that arises as a consequence of exposure to chemotherapy.		
MONDO:0100642	infectious neuropathy	A peripheral neuropathy caused by infection.		
MONDO:0100643	vitamin deficiency related neuropathy	A peripheral neuropathy that arises as a consequence of a vitamin deficiency.		
MONDO:0100644	paraproteinemia-associated neuropathy	A peripheral neuropathy that arises as a consequence of paraproteinemia.		
MONDO:0100645	neuropathy in cryoglobulinemia	A peripheral neuropathy that arises as a consequence of cryoglobulinemia.		
MONDO:0100646	neuropathy in endocrine disorder	A peripheral neuropathy that arises as a consequence of an endocrine disorder.		
MONDO:0100647	sarcoid neuropathy	A peripheral neuropathy occurring in the context of sarcoidosis.		
MONDO:0700321	CACNA1C-related disorder	Any human disease (syndromic or non syndromic) in which the cause of the disease is a variation in the CACNA1C gene.		
MONDO:0700322	tinnitus	A central nervous system dysperception disorder characterized by the perception of a sound not justified by any internal or external vibration, lasting at least 5 minutes and occurring more than once a week, arising from maladaptive neuroplasticity secondary to an organic cochlear peripheral lesion, and classifiable as positive auditory hallucinosis in the absence of delusional attitudes or behaviors.		
MONDO:0700323	systemic lupus erythematosus related to C4A	Any systemic lupus erythematosus in which the cause of the disease is a variation in the C4A gene.		
MONDO:0700324	SMAD6-related disease	A human disease in which the cause of the disease is a variation in the SMAD6 gene, and characterized by craniosynostosis with congenital heart disease and/or radioulnar synostosis.		
MONDO:0700325	Parkes Weber syndrome	A rare congenital complex vascular malformation syndrome characterized by overgrowth of a limb (most commonly a leg) involving bones and soft tissue, in association with capillary malformations usually in the form of port-wine stains and multiple arteriovenous fistulas with high-flow arteriovenous shunting. The latter can also lead to other severe complications including abnormal bleeding and heart failure. Lymphatic malformations may also be present.		
