defined_class	defined_class_label	disease	disease_label	gene	gene_label	mode_of_inheritance	mode_of_inheritance_label
http://purl.obolibrary.org/obo/MONDO_0007818	Hyper-IgE recurrent infection syndrome 1	http://purl.obolibrary.org/obo/MONDO_0018037	hyper-IgE syndrome	http://identifiers.org/hgnc/11364	STAT3	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0100121	SCN4A-related myopathy, autosomal recessive	http://purl.obolibrary.org/obo/MONDO_0019952	congenital myopathy	http://identifiers.org/hgnc/10591	SCN4A	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0010338	X-linked distal spinal muscular atrophy type 3	http://purl.obolibrary.org/obo/MONDO_0001516	spinal muscular atrophy	http://identifiers.org/hgnc/869	ATP7A	http://purl.obolibrary.org/obo/HP_0001417	X-linked inheritance
http://purl.obolibrary.org/obo/MONDO_0020721	X-linked sideroblastic anemia 1	http://purl.obolibrary.org/obo/MONDO_0015194	sideroblastic anemia	http://identifiers.org/hgnc/397	ALAS2	http://purl.obolibrary.org/obo/HP_0001417	X-linked inheritance
http://purl.obolibrary.org/obo/MONDO_0007092	amelogenesis imperfecta type 1B	http://purl.obolibrary.org/obo/MONDO_0019507	amelogenesis imperfecta	http://identifiers.org/hgnc/3344	ENAM	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0014865	autosomal recessive severe congenital neutropenia due to CSF3R deficiency	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia	http://identifiers.org/hgnc/2439	CSF3R	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0018487	autosomal recessive severe congenital neutropenia due to CXCR2 deficiency	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia	http://identifiers.org/hgnc/6027	CXCR2	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0012930	autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia	http://identifiers.org/hgnc/24861	G6PC3	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0014456	autosomal recessive severe congenital neutropenia due to JAGN1 deficiency	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia	http://identifiers.org/hgnc/26926	JAGN1	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0014118	congenital neutropenia-myelofibrosis-nephromegaly syndrome	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia	http://identifiers.org/hgnc/14579	VPS45	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0014614	congenital stationary night blindness 1G	http://purl.obolibrary.org/obo/MONDO_0016293	congenital stationary night blindness	http://identifiers.org/hgnc/4393	GNAT1	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0012497	congenital stationary night blindness autosomal dominant 3	http://purl.obolibrary.org/obo/MONDO_0016293	congenital stationary night blindness	http://identifiers.org/hgnc/4393	GNAT1	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0008338	contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A	http://purl.obolibrary.org/obo/MONDO_0017415	multiple pterygium syndrome	http://identifiers.org/hgnc/7573	MYH3	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0020746	contractures, pterygia, and variable skeletal fusions syndrome 1B	http://purl.obolibrary.org/obo/MONDO_0017415	multiple pterygium syndrome	http://identifiers.org/hgnc/7573	MYH3	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0009035	craniometaphyseal dysplasia, autosomal recessive	http://purl.obolibrary.org/obo/MONDO_0015465	craniometaphyseal dysplasia	http://identifiers.org/hgnc/4274	GJA1	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0013170	cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies	http://purl.obolibrary.org/obo/MONDO_0100237	inherited cutis laxa	http://identifiers.org/hgnc/6717	LTBP4	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0014706	cutis laxa, autosomal dominant 3	http://purl.obolibrary.org/obo/MONDO_0100237	inherited cutis laxa	http://identifiers.org/hgnc/9722	ALDH18A1	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0009052	cutis laxa, autosomal recessive, type 1A	http://purl.obolibrary.org/obo/MONDO_0100237	inherited cutis laxa	http://identifiers.org/hgnc/3327	ELN	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0013754	cutis laxa, autosomal recessive, type 1B	http://purl.obolibrary.org/obo/MONDO_0100237	inherited cutis laxa	http://identifiers.org/hgnc/3219	EFEMP2	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0013521	dyskeratosis congenita, autosomal dominant 2	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita	http://identifiers.org/hgnc/11730	TERT	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0013522	dyskeratosis congenita, autosomal dominant 3	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita	http://identifiers.org/hgnc/11824	TINF2	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0014690	dyskeratosis congenita, autosomal dominant 6	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita	http://identifiers.org/hgnc/25070	ACD	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
http://purl.obolibrary.org/obo/MONDO_0013519	dyskeratosis congenita, autosomal recessive 2	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita	http://identifiers.org/hgnc/14377	NHP2	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0013520	dyskeratosis congenita, autosomal recessive 3	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita	http://identifiers.org/hgnc/25522	WRAP53	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0014076	dyskeratosis congenita, autosomal recessive 5	http://purl.obolibrary.org/obo/MONDO_0015780	dyskeratosis congenita	http://identifiers.org/hgnc/15888	RTEL1	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0100211	growth hormone insensitivity with immune dysregulation 1, autosomal recessive	http://purl.obolibrary.org/obo/MONDO_0100210	growth hormone insensitivity syndrome with immune dysregulation	http://identifiers.org/hgnc/11367	STAT5B	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0033004	polycystic kidney disease 4	http://purl.obolibrary.org/obo/MONDO_0020642	polycystic kidney disease	http://identifiers.org/hgnc/9016	PKHD1	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
http://purl.obolibrary.org/obo/MONDO_0033281	polycystic kidney disease 5	http://purl.obolibrary.org/obo/MONDO_0020642	polycystic kidney disease	http://identifiers.org/hgnc/26551	DZIP1L	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
