defined_class	defined_class_label	agent	agent_label
http://purl.obolibrary.org/obo/MONDO_0021747	Acanthamoeba infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_5754	Acanthamoeba
http://purl.obolibrary.org/obo/MONDO_0006635	Acinetobacter infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_469	Acinetobacter
http://purl.obolibrary.org/obo/MONDO_0006636	Actinobacillus infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_713	Actinobacillus
http://purl.obolibrary.org/obo/MONDO_0006921	Actinomycetales infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_2037	Actinomycetales
http://purl.obolibrary.org/obo/MONDO_0005117	Aeromonas hydrophila infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_644	Aeromonas hydrophila
http://purl.obolibrary.org/obo/MONDO_0001262	African histoplasmosis	http://purl.obolibrary.org/obo/NCBITaxon_149546	Histoplasma capsulatum var. duboisii
http://purl.obolibrary.org/obo/MONDO_0000227	African tick-bite fever	http://purl.obolibrary.org/obo/NCBITaxon_35788	Rickettsia africae
http://purl.obolibrary.org/obo/MONDO_0000310	Alkhurma hemorrhagic fever	http://purl.obolibrary.org/obo/NCBITaxon_172148	Alkhumra hemorrhagic fever virus
http://purl.obolibrary.org/obo/MONDO_0005643	Alphavirus infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_11019	Alphavirus
http://purl.obolibrary.org/obo/MONDO_0006922	Anaplasmataceae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_942	Anaplasmataceae
http://purl.obolibrary.org/obo/MONDO_0005650	Arenaviridae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_11617	Arenaviridae
http://purl.obolibrary.org/obo/MONDO_0005656	Ascaridida infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_6249	Ascaridomorpha
http://purl.obolibrary.org/obo/MONDO_0024473	Astrakhan spotted fever	http://purl.obolibrary.org/obo/NCBITaxon_302011	Rickettsia conorii subsp. caspia
http://purl.obolibrary.org/obo/MONDO_0005658	Astroviridae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_39733	Astroviridae
http://purl.obolibrary.org/obo/MONDO_0005660	Avulavirus infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_260963	Avulavirus
http://purl.obolibrary.org/obo/MONDO_0006923	Bacillaceae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_186817	Bacillaceae
http://purl.obolibrary.org/obo/MONDO_0006705	Bacteroidaceae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_815	Bacteroidaceae
http://purl.obolibrary.org/obo/MONDO_0006671	Bacteroides infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_816	Bacteroides
http://purl.obolibrary.org/obo/MONDO_0000343	Barmah forest virus disease	http://purl.obolibrary.org/obo/NCBITaxon_11020	Barmah Forest virus
http://purl.obolibrary.org/obo/MONDO_0006924	Bartonellaceae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_772	Bartonellaceae
http://purl.obolibrary.org/obo/MONDO_0006706	Bifidobacteriales infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_85004	Bifidobacteriales
http://purl.obolibrary.org/obo/MONDO_0005671	Blastocystis infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_12967	Blastocystis
http://purl.obolibrary.org/obo/MONDO_0001353	Bordetella parapertussis infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_519	Bordetella parapertussis
http://purl.obolibrary.org/obo/MONDO_0006681	Borrelia infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_138	Borrelia
http://purl.obolibrary.org/obo/MONDO_0001190	Brucella suis brucellosis	http://purl.obolibrary.org/obo/NCBITaxon_29461	Brucella suis
http://purl.obolibrary.org/obo/MONDO_0021641	Bunyaviridae infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_1980416	Peribunyaviridae
http://purl.obolibrary.org/obo/MONDO_0000327	Buruli ulcer disease	http://purl.obolibrary.org/obo/NCBITaxon_1809	Mycobacterium ulcerans
