# curie_map:
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_relatedmatch_icd10cm.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2022-10-24/mappings/mondo_relatedmatch_icd10cm.sssom.tsv
# object_source: https://www.icd10data.com/
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
MONDO:0005249	pneumonia	skos:relatedMatch	ICD10CM:J15	semapv:ManualMappingCuration
MONDO:0005249	pneumonia	skos:relatedMatch	ICD10CM:J15	semapv:ManualMappingCuration
MONDO:0006716	coronary thrombosis	skos:relatedMatch	ICD10CM:I22	semapv:ManualMappingCuration
MONDO:0006716	coronary thrombosis	skos:relatedMatch	ICD10CM:I22	semapv:ManualMappingCuration
MONDO:0006856	mesothelial neoplasm	skos:relatedMatch	ICD10CM:C45-C49	semapv:ManualMappingCuration
MONDO:0006856	mesothelial neoplasm	skos:relatedMatch	ICD10CM:C45-C49	semapv:ManualMappingCuration
MONDO:0009569	Hennekam-Beemer syndrome	skos:relatedMatch	ICD10CM:Q82.2	semapv:ManualMappingCuration
MONDO:0009569	Hennekam-Beemer syndrome	skos:relatedMatch	ICD10CM:Q82.2	semapv:ManualMappingCuration
MONDO:0015195	atresia of urethra	skos:relatedMatch	ICD10CM:Q64.3	semapv:ManualMappingCuration
MONDO:0015195	atresia of urethra	skos:relatedMatch	ICD10CM:Q64.3	semapv:ManualMappingCuration
MONDO:0015285	Carney complex	skos:relatedMatch	ICD10CM:D44.8	semapv:ManualMappingCuration
MONDO:0015285	Carney complex	skos:relatedMatch	ICD10CM:D44.8	semapv:ManualMappingCuration
MONDO:0019060	bone neoplasm	skos:relatedMatch	ICD10CM:C40-C41	semapv:ManualMappingCuration
MONDO:0019060	bone neoplasm	skos:relatedMatch	ICD10CM:C40-C41	semapv:ManualMappingCuration
MONDO:0019464	heavy chain disease	skos:relatedMatch	ICD10CM:C88.3	semapv:ManualMappingCuration
MONDO:0019464	heavy chain disease	skos:relatedMatch	ICD10CM:C88.3	semapv:ManualMappingCuration
MONDO:0020641	respiratory tract neoplasm	skos:relatedMatch	ICD10CM:C30-C39	semapv:ManualMappingCuration
MONDO:0020641	respiratory tract neoplasm	skos:relatedMatch	ICD10CM:C30-C39	semapv:ManualMappingCuration
MONDO:0021220	eye neoplasm	skos:relatedMatch	ICD10CM:C69-C72	semapv:ManualMappingCuration
MONDO:0021220	eye neoplasm	skos:relatedMatch	ICD10CM:C69-C72	semapv:ManualMappingCuration
MONDO:0021245	oral cavity neoplasm	skos:relatedMatch	ICD10CM:C00-C14	semapv:ManualMappingCuration
MONDO:0021245	oral cavity neoplasm	skos:relatedMatch	ICD10CM:C00-C14	semapv:ManualMappingCuration
MONDO:0021246	pharynx neoplasm	skos:relatedMatch	ICD10CM:C00-C14	semapv:ManualMappingCuration
MONDO:0021246	pharynx neoplasm	skos:relatedMatch	ICD10CM:C00-C14	semapv:ManualMappingCuration
MONDO:0021249	lip neoplasm	skos:relatedMatch	ICD10CM:C00-C14	semapv:ManualMappingCuration
MONDO:0021249	lip neoplasm	skos:relatedMatch	ICD10CM:C00-C14	semapv:ManualMappingCuration
MONDO:0021350	neoplasm of thorax	skos:relatedMatch	ICD10CM:C30-C39	semapv:ManualMappingCuration
MONDO:0021350	neoplasm of thorax	skos:relatedMatch	ICD10CM:C30-C39	semapv:ManualMappingCuration
MONDO:0100125	hallucinogen-persisting perception disorder	skos:relatedMatch	ICD10CM:F16.183	semapv:ManualMappingCuration
MONDO:0100125	hallucinogen-persisting perception disorder	skos:relatedMatch	ICD10CM:F16.183	semapv:ManualMappingCuration

